"school_name_x","School Code","Number of Rating","Overall Quality","Reputation","Facilities","Opportunities","Clubs","Safety","Happiness","Social","school_name_y","place_id","overall_rating","number_of_review","accurate_address","matching_substring","CA Student Undergraduate","CA Student Graduate","International Student Undergraduate","International Student Graduate","Image Source"
"University of Toronto","/school/12184","121 Ratings","3.2","4.0","3.3","3.2","3.1","3.1","2.7","2.6","University of Toronto","ChIJm_0x87g0K4gR93ZadrabHY0","4.4","1859.0","27 King's College Cir, Toronto, ON M5S 1A1, Canada","University of Toronto","$6,100 - $11,760","$6,210 - $10,350","$41,540 - $61,350","$6,210 - $43,990","https://www.universitystudy.ca/wp-content/uploads/2019/04/toronto-color-blue-stacked-logo_200px.png"
"University of Toronto at Scarborough","/school/4919","227 Ratings","3.2","4.1","3.1","3.4","3.0","3.6","3.4","2.7","University of Toronto at Scarborough","ChIJf9Wrt2_a1IkRrHuIaQFuZbs","4.3","423.0","1265 Military Trail, Scarborough, ON M1C 1A4, Canada","University of Toronto","$6,100 - $11,760","$6,210 - $10,350","$41,540 - $61,350","$6,210 - $43,990","https://www.universitystudy.ca/wp-content/uploads/2019/04/toronto-color-blue-stacked-logo_200px.png"
"University of Toronto at Mississauga","/school/4928","326 Ratings","3.4","4.3","3.7","3.4","2.8","4.4","3.5","2.7","University of Toronto at Mississauga","ChIJA_JaE-NDK4gRkvS5ZogWPHE","4.5","769.0","3359 Mississauga Rd, Mississauga, ON L5L 1C6, Canada","University of Toronto","$6,100 - $11,760","$6,210 - $10,350","$41,540 - $61,350","$6,210 - $43,990","https://www.universitystudy.ca/wp-content/uploads/2019/04/toronto-color-blue-stacked-logo_200px.png"
"University of Toronto - Rotman School of Mgmt","/school/5281","17 Ratings","4.2","4.5","4.2","4.3","4.0","4.5","4.5","3.9","University of Toronto - Rotman School of Mgmt","ChIJr-hoO7w0K4gR5VYnUTXXxmU","4.5","99.0","105 St George St, Toronto, ON M5S 3E6, Canada","University of Toronto","$6,100 - $11,760","$6,210 - $10,350","$41,540 - $61,350","$6,210 - $43,990","https://www.universitystudy.ca/wp-content/uploads/2019/04/toronto-color-blue-stacked-logo_200px.png"
"University of Toronto - St. George Campus","/school/1484","488 Ratings","3.6","4.4","3.9","3.7","3.4","3.9","3.2","2.9","University of Toronto - St. George Campus","ChIJm_0x87g0K4gR93ZadrabHY0","4.4","1859.0","27 King's College Cir, Toronto, ON M5S 1A1, Canada","University of Toronto","$6,100 - $11,760","$6,210 - $10,350","$41,540 - $61,350","$6,210 - $43,990","https://www.universitystudy.ca/wp-content/uploads/2019/04/toronto-color-blue-stacked-logo_200px.png"
"Trinity College in the University of Toronto","/school/17242","","","","","","","","","","Trinity College in the University of Toronto","ChIJzQd-DLw0K4gRoqqSLgWbDtE","4.6","82.0","6 Hoskin Ave, Toronto, ON M5S 1H8, Canada","University of Toronto","$6,100 - $11,760","$6,210 - $10,350","$41,540 - $61,350","$6,210 - $43,990","https://www.universitystudy.ca/wp-content/uploads/2019/04/toronto-color-blue-stacked-logo_200px.png"
"University of St. Michael's College in the University of Toronto","/school/5684","","","","","","","","","","University of St. Michael's College in the University of Toronto","ChIJmUbv9rA0K4gRN0E20uZ_Gyg","4.3","41.0","81 St Mary St, Toronto, ON M5S 1J4, Canada","University of Toronto","$6,100 - $11,760","$6,210 - $10,350","$41,540 - $61,350","$6,210 - $43,990","https://www.universitystudy.ca/wp-content/uploads/2019/04/toronto-color-blue-stacked-logo_200px.png"
"McGill University","/school/1439","593 Ratings","4.0","4.6","4.0","4.0","4.0","4.2","4.1","4.1","McGill University","ChIJNZYPUUYayUwRdK6kAJLa5N0","4.5","1191.0","845 Rue Sherbrooke O, Montréal, QC H3A 0G4, Canada","McGill University","$2,797 - $8,730","$2,797 - $8,730","$19,886 - $31,500","$17,193 - $27,011","https://www.universitystudy.ca/wp-content/uploads/2019/04/mcgill_color-red_logo_200px-1.png"
"University of Waterloo","/school/1490","697 Ratings","3.7","4.5","3.5","4.3","3.4","4.0","3.9","2.9","University of Waterloo","ChIJ_8ztAq32K4gRF44mljnynd0","4.3","1002.0","200 University Ave W, Waterloo, ON N2L 3G1, Canada","University of Waterloo","$6,128 - $7,618","$3,504 - $4,508","$34,234 - $46,772","$4,380 - $15,392","https://www.universitystudy.ca/wp-content/uploads/2019/04/waterloo_color-horizontal-logo_200px.png"
"Simon Fraser University","/school/1482","566 Ratings","3.3","3.7","3.4","3.5","3.1","3.5","3.4","2.9","Simon Fraser University","ChIJJyJ6hcB5hlQRW7Uwbj9sUAA","4.2","898.0","8888 University Dr W, Burnaby, BC V5A 1S6, Canada","Simon Fraser University","$6,114","$4,051","$27,895 - $31,775","$4,051","https://www.universitystudy.ca/wp-content/uploads/2019/04/simon-fraser-color-red-horizontal-logo_200px.jpg"
"Simon Fraser University - Surrey","/school/4267","31 Ratings","3.5","3.7","3.8","3.5","2.6","2.7","4.2","2.9","Simon Fraser University - Surrey","ChIJVWLXWNPZhVQRbGogBYEKzCc","4.5","155.0","13450 102 Ave #250, Surrey, BC V3T 0A3, Canada","Simon Fraser University","$6,114","$4,051","$27,895 - $31,775","$4,051","https://www.universitystudy.ca/wp-content/uploads/2019/04/simon-fraser-color-red-horizontal-logo_200px.jpg"
