school_name,School Code,comment,score,date,thumbup,thumbdown,place_id,commentgg,Author Name,Rating,Likes,Date
Acadia University,,,,nan,,,ChIJBYeoBKZVWEsRIphnNhZ0SOA,Nice school. It was my first taste at Canada though. So I can't really give adequate info on whether it was good or not relative to the norms in canada.,Korede “SARGE” Daniel,4.0,,2022-11-26
Acadia University,,,,nan,,,ChIJw41iuB311YkREso8L-O3FfM,"Devastated to see such blatant disregard for the environment!  We arrived, in May, to find industrial mowers clearing the grounds of dandelions.  You could almost hear the bees being crunched up! If you must mow (you don't), at least wait until the pollinators have flown.  Seriously, they need help... give the bees a chance!",Eileen Zapshala,1.0,,2023-05-08
Acadia University,,,,nan,,,ChIJw41iuB311YkREso8L-O3FfM,"Trent University is a great choice for those who did not make the grade for more prestigious institutions or are starting over again. For those who strive for academic excellence, Trent University faculty provide world class instruction that prepares students for future academic work or careers after graduation.

The only drawbacks is its location and the long, dark winters. If you can overcome these minor drawbacks, Trent University may be right for you.",iran747,4.0,,2023-05-11
Acadia University,,,,nan,,,ChIJw41iuB311YkREso8L-O3FfM,Best primarily undergraduate univ. In Ontario. I had an excellent experience there both for undergrad and masters science programs. Smaller class sizes and very caring and supportive professors and staff.,Alma Barranco,5.0,,2023-06-07
Acadia University,,,,nan,,,ChIJlRMcQzXL1IkR9NYlkdaL7eg,"Edit: The university still has not dealt fully with my accessibility issues and I have now come across HUNDREDS of other students who have also had this problem. This school is not disability friendly.

I find many of the services and parts of the university pretty good. Had a really horrible experience with my accessibility needs but that’s slowly on the up and up. Many parts of the website are confusing including that the test centre only has its address in the most mundane place ever. The student centre is really cool inside though!",Sierra Lefave,1.0,,2022-10-25
Acadia University,,,,nan,,,ChIJlRMcQzXL1IkR9NYlkdaL7eg,Nice University Campus. Very walkable. Lots of nice greenery and artwork. Great location. Convenient to areas around Toronto and convenient to transit/metro. Lots of old buildings but some new and modern. Some areas of the campus could use some upgrades and cleaning.,Lou Mustillo,3.0,,2023-08-29
Acadia University,,,,nan,,,ChIJlRMcQzXL1IkR9NYlkdaL7eg,"Last night, there was a shirtless homeless guy around the area creating a ruckus, a short while after that I noticed 4 Gaurda World security gaurd on duty at TMU just chilling around the entrance and all in their phones. This is not the best behavior considering the fact that this is one of the riskiest area at night with a lot of druggies and hyperactive homeless people.
And 4 guards at one entrance? They should hire better professionals for the job !!",sukhman singh,1.0,,2023-05-31
Acadia University,,,,nan,,,ChIJlRMcQzXL1IkR9NYlkdaL7eg,It was my first time to pass by Ryerson University. I was shocked by all the garbage in front of their Student Learning Centre on campus. The stairs were very very dirty too. It gave me a terrible experience and a really bad impression.,Jenny,1.0,,2022-08-02
Acadia University,,,,nan,,,ChIJlRMcQzXL1IkR9NYlkdaL7eg,"Would have preferred the name University X (like from the X-Men), but otherwise a great university",Peter Nguyen,4.0,,2022-05-21
Acadia University,,,,nan,,,ChIJR0KgYISkgFMReXbSbgvZp8w,Got my 5g shot there! Getting good reception and the windows boot up sound is crisp every morning I wake up. 5/7 would get Bill Gates nanites injection again 😀,James Deaton,5.0,,2021-05-29
Acadia University,,,,nan,,,ChIJR0KgYISkgFMReXbSbgvZp8w,"Dropped by just to get vaccinated. The process was fast and the people were awesome! It felt like voting, but everyone was super happy!",Erich Zirnhelt,5.0,,2021-05-10
Acadia University,,,,nan,,,ChIJR0KgYISkgFMReXbSbgvZp8w,I graduated from there it was an excellent experience. Go canada go 💪,Aboud Salem,5.0,,2020-08-14
Acadia University,,,,nan,,,ChIJR0KgYISkgFMReXbSbgvZp8w,"If you study nursing courses in this school, you must be very careful of the internship teacher in the practice class, especially Lisa who has migraine. She is not a fair and impartial person. Good luck!",heng chen,1.0,,2022-03-18
Acadia University,,,,nan,,,ChIJR0KgYISkgFMReXbSbgvZp8w,"Very well set-up, staff that cares and makes sure you are taken care of. The Gathering Place is a great resource room out back, helpful library staff.
Street parking available, also paid parking.",Tye Proctor,5.0,,2020-09-04
Acadia University,,,,nan,,,ChIJjfqz1F8sflMR9Ls-dvm2c5M,"My Indian brothers and sisters,
Please please DO NOT COME.  This University doesn’t support you at all. There is huge housing crisis in Kamloops.   You won’t find house, neither part time job to support yourself.  Please don’t take admission here in just for a sake of coming to Canada.",Firoz Khan,1.0,,2023-05-18
Acadia University,,,,nan,,,ChIJjfqz1F8sflMR9Ls-dvm2c5M,"I wouldn't with my worst enemy to go to this school. The admin staff don't even want you to go here. OpenTRU especially is the worst educational experience of my lifetime-- but I have no other option. The course load is unnecessarily huge, I've never experienced anything like this. PLEASE, if you have the option to go elsewhere, do it.",Lindsey Johnson,1.0,,2023-04-04
Acadia University,,,,nan,,,ChIJjfqz1F8sflMR9Ls-dvm2c5M,"I have been in 3rd world countries with significantly more organized universities , this so called university is so chaotic and unorganized , no one helps you no one bother to show you how things are done , stay away !",Ara J,1.0,,2023-08-31
